tissue	gene_id	outcome	n_snps	PP0	PP1	PP2	PP3	PP4
Brain_Amygdala	ENSG00000273493.1	ADHD	40	0.725617931107381	0.271789983970645	0.000240960984473249	8.79920551795368e-05	0.00226313188232152
Brain_Amygdala	ENSG00000273493.1	F3	32	0.772887741267347	0.221029172704445	0.000608990997130986	0.000168853007736965	0.00530524202334009
Brain_Amygdala	ENSG00000168291.13	ASD	228	0.00224578245982737	0.982724850008322	1.47673740059622e-05	0.00645344737414263	0.00856115278370177
Brain_Amygdala	ENSG00000168291.13	ADHD	207	0.0025259875262695	0.955835171655393	9.25308448780961e-06	0.0034632062530901	0.0381663814807603
Brain_Amygdala	ENSG00000168291.13	F3	129	0.00823586435718256	0.984786478036478	2.06675383460086e-05	0.00246678802872707	0.00449020203926606
Brain_Amygdala	ENSG00000163634.12	ASD	59	0.00609587931055409	0.970741850772223	9.11348950367899e-06	0.00142955934621391	0.0217235970815054
Brain_Amygdala	ENSG00000163634.12	ADHD	48	0.00874641476714111	0.985769730409606	2.70872612423376e-06	0.000300107504465095	0.00518103859266318
Brain_Amygdala	ENSG00000144741.19	ASD	233	1.48373637824305e-36	0.980931248039605	6.11988435131968e-39	0.00403095438987365	0.0150377975705143
Brain_Amygdala	ENSG00000144741.19	ADHD	205	1.2657539809039e-36	0.992634655841916	1.77331363666584e-39	0.00138469447201061	0.00598064968607765
Brain_Amygdala	ENSG00000144741.19	F3	42	9.37643591777554e-36	0.989886978362819	2.88010499499538e-39	0.000294239012454833	0.00981878262473125
Brain_Amygdala	ENSG00000241316.8	ASD	244	5.43669098800069e-10	0.990816352419314	1.09535912468722e-12	0.00198905594974309	0.00719459108617683
Brain_Amygdala	ENSG00000241316.8	ADHD	224	5.82940524189934e-10	0.993455869663476	7.82095800613124e-13	0.00132764275252157	0.00521648700028068
Brain_Amygdala	ENSG00000241316.8	F3	98	1.5361781891351e-09	0.996058587887968	6.97943340694101e-13	0.000449054401275517	0.00349235617388045
Brain_Amygdala	ENSG00000144746.7	ASD	49	5.37189368007461e-10	0.99101948218803	3.96331603518015e-13	0.000722904178042681	0.00825761309634186
Brain_Amygdala	ENSG00000144746.7	ADHD	44	5.57455303665807e-10	0.991781883447958	1.9206185966599e-13	0.000333817487565414	0.00788429850683156
Brain_Amygdala	ENSG00000170837.3	ASD	31	0.172076327367928	0.818423855396819	6.09572576642899e-05	0.000280764839615014	0.00915809513797361
Brain_Amygdala	ENSG00000241163.9	ASD	40	0.000923761622956768	0.991233164473064	2.88658658479591e-07	0.000302201701030641	0.00754058354429004
Brain_Amygdala	ENSG00000241163.9	ADHD	37	0.000991523839624353	0.993288634726713	2.0357399989145e-07	0.0001984151147764	0.00552122274488599
Brain_Amygdala	ENSG00000172986.13	ASD	52	0.0255061446795399	0.959567398650176	2.91331372447215e-05	0.00108220346963984	0.0138151200633992
Brain_Amygdala	ENSG00000172986.13	ADHD	49	0.0260860391359726	0.966750561047475	8.93090788101409e-06	0.000324149794794159	0.00683031911387724
Brain_Amygdala	ENSG00000243422.3	ASD	89	0.000211463068815145	0.99130815757431	1.54316183576328e-07	0.000715647280783933	0.00776457775990714
Brain_Amygdala	ENSG00000243422.3	ADHD	62	0.000317570282068208	0.990006092004264	1.53658944983994e-07	0.000469816072765283	0.00920636798195666
Brain_Amygdala	ENSG00000242516.3	ASD	175	0.0125620218394338	0.976960634337158	2.62137587544084e-05	0.00203024858657488	0.00842088147807898
Brain_Amygdala	ENSG00000242516.3	ADHD	119	0.017524393572734	0.975826512280463	1.67002507671599e-05	0.000924226862826105	0.00570816703320922
