pair	exposure	outcome	n_iv	method	beta	se	p	egger_intercept	egger_intercept_p	cochran_Q_p_ivw	presso_global_p	presso_raw_p	presso_outlier_corrected_b	presso_outlier_corrected_p
Gupta_2023_adj__F3	Gupta_2023_adj	F3	21	Weighted median	-0.0165262314446526	0.0475629180437157	0.728245449201782	-0.00396964953390603	0.264284182403979	0.113175055897798	0.0980952380952381	0.0485539316209009		
Gupta_2023_adj__F3	Gupta_2023_adj	F3	21	Robust adjusted profile score (RAPS)	-0.0747517850882091	0.0336318707436449	0.0262395953216613	-0.00396964953390603	0.264284182403979	0.113175055897798	0.0980952380952381	0.0485539316209009		
Gupta_2023_adj__F4	Gupta_2023_adj	F4	21	Inverse variance weighted	0.0143491941622586	0.0134196945318698	0.284950797602385	0.00148339958754826	0.24640993681036	0.00037310936294152	0.000952380952380952	0.297686774388412	0.0148196156844868	0.207724208763662
Gupta_2023_adj__F4	Gupta_2023_adj	F4	21	MR Egger	-0.0146655612431496	0.0276556397894529	0.602052837400263	0.00148339958754826	0.24640993681036	0.00037310936294152	0.000952380952380952	0.297686774388412	0.0148196156844868	0.207724208763662
Gupta_2023_adj__F4	Gupta_2023_adj	F4	21	Weighted median	0.00489733816151858	0.0129645198661843	0.705616848649578	0.00148339958754826	0.24640993681036	0.00037310936294152	0.000952380952380952	0.297686774388412	0.0148196156844868	0.207724208763662
Gupta_2023_adj__F4	Gupta_2023_adj	F4	21	Robust adjusted profile score (RAPS)	0.0104611105962687	0.0132837177023957	0.430981171298302	0.00148339958754826	0.24640993681036	0.00037310936294152	0.000952380952380952	0.297686774388412	0.0148196156844868	0.207724208763662
Gupta_2023_adj__F5	Gupta_2023_adj	F5	21	Inverse variance weighted	0.0277299200436659	0.0184569878736559	0.132991858158641	0.00092600613583679	0.596266329359623	0.0792741223686519	0.0857142857142857	0.148617442886661		
Gupta_2023_adj__F5	Gupta_2023_adj	F5	21	MR Egger	0.0110210594766617	0.0362602734078425	0.764474799806365	0.00092600613583679	0.596266329359623	0.0792741223686519	0.0857142857142857	0.148617442886661		
Gupta_2023_adj__F5	Gupta_2023_adj	F5	21	Weighted median	0.00805879124246507	0.0219376773024741	0.713358455956135	0.00092600613583679	0.596266329359623	0.0792741223686519	0.0857142857142857	0.148617442886661		
Gupta_2023_adj__F5	Gupta_2023_adj	F5	21	Robust adjusted profile score (RAPS)	0.0211809688216173	0.0190782048665215	0.266905044549477	0.00092600613583679	0.596266329359623	0.0792741223686519	0.0857142857142857	0.148617442886661		
Gupta_2023_adj__BMI	Gupta_2023_adj	BMI	24	Inverse variance weighted	0.0458923856537072	0.0220189642892954	0.0371400781485755	0.00161679295792831	0.383305136920593	3.52843042341459e-12		0.0484372024099731	0.0581536084278845	0.00830203248211597
Gupta_2023_adj__BMI	Gupta_2023_adj	BMI	24	MR Egger	0.0131055661110161	0.0429838597575516	0.76331183271019	0.00161679295792831	0.383305136920593	3.52843042341459e-12		0.0484372024099731	0.0581536084278845	0.00830203248211597
Gupta_2023_adj__BMI	Gupta_2023_adj	BMI	24	Weighted median	0.0164996701214244	0.0176089675362111	0.348756584960721	0.00161679295792831	0.383305136920593	3.52843042341459e-12		0.0484372024099731	0.0581536084278845	0.00830203248211597
Gupta_2023_adj__BMI	Gupta_2023_adj	BMI	24	Robust adjusted profile score (RAPS)	0.0410708921359278	0.0198216290862765	0.0382631985846396	0.00161679295792831	0.383305136920593	3.52843042341459e-12		0.0484372024099731	0.0581536084278845	0.00830203248211597
Gupta_2023_adj__Height	Gupta_2023_adj	Height	22	Inverse variance weighted	-0.00997125492417686	0.0300154101556165	0.739734830909924	0.000973669445573656	0.71213675161552	6.91928425991942e-39		0.743027876152456	-0.00216728865314949	0.860302849604652
Gupta_2023_adj__Height	Gupta_2023_adj	Height	22	MR Egger	-0.0291463520969703	0.0597004345271033	0.630710758313988	0.000973669445573656	0.71213675161552	6.91928425991942e-39		0.743027876152456	-0.00216728865314949	0.860302849604652
Gupta_2023_adj__Height	Gupta_2023_adj	Height	22	Weighted median	-0.0147605667311853	0.014511181870165	0.309065096033547	0.000973669445573656	0.71213675161552	6.91928425991942e-39		0.743027876152456	-0.00216728865314949	0.860302849604652
Gupta_2023_adj__Height	Gupta_2023_adj	Height	22	Robust adjusted profile score (RAPS)	0.00158254961661643	0.0252031025065977	0.949932249992241	0.000973669445573656	0.71213675161552	6.91928425991942e-39		0.743027876152456	-0.00216728865314949	0.860302849604652
Gupta_2023_raw__SCZ	Gupta_2023_raw	SCZ	54	Inverse variance weighted	-0.0742149426465358	0.0543414240890386	0.17202817640645	0.00393543690141335	0.436623836222249	8.28285569200968e-08		0.139367122085984	-0.0686634941900983	0.115627906266072
Gupta_2023_raw__SCZ	Gupta_2023_raw	SCZ	54	MR Egger	-0.166012854160206	0.129174753838755	0.204424120165278	0.00393543690141335	0.436623836222249	8.28285569200968e-08		0.139367122085984	-0.0686634941900983	0.115627906266072
